9,16,0.0079224,0.011547,-0.003625
9,18,0.0067115,0.010627,-0.0039154
9,20,0.0056681,0.0098832,-0.0042151
9,22,0.0058503,0.011105,-0.0052551
9,24,0.0041229,0.0097819,-0.005659
9,26,0.0081665,0.010101,-0.0019346
9,28,0.0042831,0.0092554,-0.0049723
9,30,0.0056584,0.0087513,-0.003093
10,2,0.022664,0.02209,0.00057446
10,4,0.018579,0.018865,-0.00028557
10,6,0.01507,0.015693,-0.00062261
10,8,0.012833,0.014514,-0.0016809
10,10,0.011535,0.014113,-0.0025778
10,12,0.010514,0.013126,-0.0026119
10,14,0.0090611,0.012288,-0.0032274
10,16,0.0070861,0.011291,-0.0042047
10,18,0.0062003,0.0093933,-0.003193
10,20,0.0056054,0.0093767,-0.0037713
10,22,0.005516,0.010707,-0.0051912
10,24,0.0045467,0.0095826,-0.005036
10,26,0.0065952,0.010924,-0.0043287
10,28,0.0044939,0.010722,-0.0062285
10,30,0.0038883,0.008445,-0.0045567
